common_name,scientific_name
PACIFIC SILVER FIR,Abies amabilis
SANTA LUCIA FIR,Abies bracteata
WHITE FIR,Abies concolor
GRAND FIR,Abies grandis
SUBALPINE FIR,Abies lasiocarpa
RED FIR,Abies magnifica
NOBLE FIR,Abies procera
BIGLEAF MAPLE,Acer macrophyllum
BOX ELDER,Acer negundo
CALIFORNIA BUCKEYE,Aesculus californica
WHITE ALDER,Alnus rhombifolia
RED ALDER,Alnus rubra
MADRONE,Arbutus menziesii
ALASKA CEDAR,Callitropsis nootkatensis
INCENSE CEDAR,Calocedrus decurrens
SAGUARO,Carnegiea gigantea
PORT ORFORD CEDAR,Chamaecyparis lawsoniana
DESERT WILLOW,Chilopsis linearis
GIANT CHINQUAPIN,Chrysolepis chrysophylla
MOUNTAIN DOGWOOD,Cornus nuttallii
OREGON ASH,Fraxinus latifolia
VELVET ASH,Fraxinus velutina
SANTA CRUZ CYPRESS,Hesperocyparis abramsiana
TECATE CYPRESS,Hesperocyparis forbesii
GOWEN CYPRESS,Hesperocyparis goveniana
MACNAB CYPRESS,Hesperocyparis macnabiana
MONTEREY CYPRESS,Hesperocyparis macrocarpa
PIUTE CYPRESS,Hesperocyparis nevadensis
PIGMY CYPRESS,Hesperocyparis pigmaea
SARGENT CYPRESS,Hesperocyparis sargentii
CUYAMACA CYPRESS,Hesperocyparis stephensonii
SOUTHERN CALIFORNIA BLACK WALNUT,Juglans californica
NORTHERN CALIFORNIA BLACK WALNUT,Juglans hindsii
SIERRA JUNIPER,Juniperus grandis
WESTERN JUNIPER,Juniperus occidentalis
UTAH JUNIPER,Juniperus osteosperma
CATALINA IRONWOOD,Lyonothamnus floribundus subsp. aspleniifolius
TANOAK,Notholithocarpus densiflorus
IRONWOOD,Olneya tesota
BLUE PALO VERDE,Parkinsonia florida
BREWER SPRUCE,Picea breweriana
ENGELMANN SPRUCE,Picea engelmannii
SITKA SPRUCE,Picea sitchensis
WHITEBARK PINE,Pinus albicaulis
KNOBCONE PINE,Pinus attenuata
FOXTAIL PINE,Pinus balfouriana
SHORE PINE,Pinus contorta subsp. contorta
COULTER PINE,Pinus coulteri
COLORADO PINYON,Pinus edulis
LIMBER PINE,Pinus flexilis
SUGAR PINE,Pinus lambertiana
BRISTLECONE PINE,Pinus longaeva
SINGLELEAF PINYON PINE,Pinus monophylla
WESTERN WHITE PINE,Pinus monticola
BISHOP PINE,Pinus muricata
PONDEROSA PINE,Pinus ponderosa
PARRY PINYON PINE,Pinus quadrifolia
MONTEREY PINE,Pinus radiata
GRAY PINE,Pinus sabiniana
TORREY PINE,Pinus torreyana
WESTERN SYCAMORE,Platanus racemosa
NARROW-LEAVED COTTONWOOD,Populus angustifolia
FREMONT COTTONWOOD,Populus fremontii
QUAKING ASPEN,Populus tremuloides
HONEY MESQUITE,Prosopis glandulosa
SCREWBEAN,Prosopis pubescens
BIGCONE DOUGLAS FIR,Pseudotsuga macrocarpa
DOUGLAS FIR,Pseudotsuga menziesii
COAST LIVE OAK,Quercus agrifolia
CANYON LIVE OAK,Quercus chrysolepis
BLUE OAK,Quercus douglasii
ENGELMANN OAK,Quercus engelmannii
OREGON OAK,Quercus garryana
CALIFORNIA BLACK OAK,Quercus kelloggii
VALLEY OAK,Quercus lobata
SHREVE OAK,Quercus parvula var. shrevei
ISLAND OAK,Quercus tomentella
GOODDING'S WILLOW,Salix gooddingii
PACIFIC WILLOW,Salix lasiandra
ARROYO WILLOW,Salix lasiolepis
GIANT SEQUOIA,Sequoiadendron giganteum
PACIFIC YEW,Taxus brevifolia
WESTERN RED CEDAR,Thuja plicata
CALIFORNIA NUTMEG,Torreya californica
WESTERN HEMLOCK,Tsuga heterophylla
MOUNTAIN HEMLOCK,Tsuga mertensiana
CALIFORNIA BAY LAUREL,Umbellularia californica
CALIFORNIA FAN PALM,Washingtonia filifera
JOSHUA TREE,Yucca brevifolia
REDWOOD,Sequoia sempervirens
NETLEAF HACKBERRY,Celtis reticulata
BAKER CYPRESS,Hesperocyparis bakeri
JEFFREY PINE,Pinus jeffreyi
BLACK COTTONWOOD,Populus trichocarpa
INTERIOR LIVE OAK,Quercus wislizeni
